UserID,ItemID,Rating
A38NELQT98S4H8,0321719816,4.0
A3QJU4FEN8PQSZ,0321719816,4.0
ACJT8MUC0LRF0,0321719816,5.0
AYUF7YETYOLNX,0321719816,5.0
A31ICLWQ9CSHRS,0321719816,5.0
A2BVNVJOFXGZUB,0321719816,5.0
A2JMJVNTBL7K7E,0321719816,5.0
A14JBDSWKPKTZA,0321719816,5.0
A2WCFDOCS73PNB,0321719816,5.0
A14638TGYH7GD9,0321719816,5.0
A2VWE5SGNDS8HW,0321719816,3.0
A13700AF4X40YG,0321700945,5.0
A23E9QQHJLNGUI,0321700945,5.0
A1GQRGB8FGSLIZ,0321700945,5.0
A1E50L7PCVXLN4,0321700945,3.0
A10Y058K7B96C6,0321700945,5.0
A3V7D0LH8L7BG0,0321700945,5.0
AGVWTYW0ULXHT,0321719824,4.0
A3QJU4FEN8PQSZ,0321719824,4.0
A31N0XY2UTB25C,0321719824,4.0
A2BLFCOPSMBOZ9,0321719824,4.0
A24X9HGDWV2ZZH,0763855553,1.0
AHEZP9ACDYJII,0763855553,5.0
A2WUYJJ7NPQ5H4,0763855553,1.0
AXGLPF6X39874,0763855553,5.0
AJK49DENMS2BT,0763855553,5.0
A3UI63EESKUYHU,0763855553,5.0
AK8GQ08WTHW4G,0763855553,5.0
A1MRPX3RM48T2I,0763855553,4.0
A318IDAWJ9ZYAY,0763855553,5.0
ANGGNFE8DXGYC,0763855553,4.0
A2N4QZL8L2NVKX,0763855553,5.0
A1EMDSTJDUE6B0,0763855553,3.0
A6M01NDCD957E,0763855553,5.0
A3PAUB3M715CJC,0763855553,5.0
AEC7B85GKPM0W,0763855553,1.0
A22S7D0LP8GRDH,0763855553,5.0
A3A770EP3KUHKM,0763855553,5.0
A3VV6SV0Z2HNTA,0763855553,5.0
A2MKY8OUI8GZG1,0763855553,1.0
A3VONQL7YW8UPM,0763855553,5.0
A3N7T0DY83Y4IG,0763855553,4.0
AA90W95STFGAC,0763855553,4.0
AHNHLGKIZ2N3B,0763855553,3.0
A16QODENBJVUI1,0763855553,5.0
A376OJHLE6SU9Q,0763855553,4.0
A1E5WXNTI7EO2A,0763855553,4.0
AEJAGHLC675A7,0763855553,4.0
A17A1KTVI3DG6U,0763855553,5.0
AZZ5ASC403N74,0763855553,5.0
A4U27URFECK1U,0763855553,3.0
A2CZ98V784SRJ0,0763855553,4.0
A2GP6XJ1V3MM3L,0763855553,3.0
AGOH8N902URMW,0763855553,5.0
A3OIMUR42XIOFQ,0763855553,4.0
A379DLIAF0MFM5,0763855553,5.0
A1GQRGB8FGSLIZ,0763855553,3.0
ACJT8MUC0LRF0,0982697813,5.0
A17BUUBOU0598B,0982697813,4.0
A3963R7EPE3A7E,0982697813,5.0
AZYJE40XW6MFG,0982697813,5.0
A3TPNC3TKGCCEI,0982697813,4.0
A3G007LQX6KGOD,0982697813,5.0
A3BNMHRW2R35LK,0982697813,5.0
A1PI8VBCXXSGC7,0982697813,4.0
A1D7VWS3DWS7X8,0982697813,5.0
ATZJNEXX7LWD3,1413313701,4.0
A2P6QCZWW3H1X6,1413313701,2.0
A2AMTEB5UZEOXE,1413313701,5.0
A3PJZ8TU8FDQ1K,1413313701,4.0
A2ZJMLZ1IA2YA9,1413313701,5.0
A14JBDSWKPKTZA,1413313701,5.0
A2L6QS8SVHT9RG,1413313701,4.0
A3R1WFO4KIUQXZ,1413313701,2.0
A5JLAU2ARJ0BO,1413313701,3.0
ACVDL5QRCOPE1,1413313701,4.0
A3H7ADUP07D93H,1413313701,3.0
A3BNMHRW2R35LK,1413313701,5.0
A3FFKU2MTCOBM1,1413313701,5.0
A1TR1R2QKWRSRA,1413313701,4.0
A226VGZWOEBPGL,1413313701,5.0
A11SWG9T60IQH8,1413313701,5.0
A1T2ZO4ARVSUGE,1413313728,2.0
A16RI68PS6T5CA,1413313728,4.0
A1GWG5CWLKJ7ET,1413313728,5.0
A1HOLE9R6WPT85,1413313728,4.0
ALQ4USPEQ9L5N,1413313728,5.0
A1GQRGB8FGSLIZ,1413313728,5.0
ACVDL5QRCOPE1,1413313728,5.0
A11EYMH9UV9XG7,1413313728,5.0
A26LQSC65AMTGK,1413313728,5.0
A2SZLNSI5KOQJT,1413313728,3.0
A3LDLV1GWQJLEQ,1413313728,5.0
A1D7VWS3DWS7X8,1413313728,5.0
A3LGT6UZL99IW1,1413313728,5.0
A3CAG7WLTAKPI,1426296355,5.0
A1MRPX3RM48T2I,1426296355,3.0
A32B6XWNR55SRL,1426296355,5.0
A38KK0SZYEH5UD,1426296355,5.0
A22RY8N8CNDF3A,1426296355,5.0
ARADXCOUVBS09,1426296355,5.0
A11REZES0TNBSD,1426296355,5.0
A3F3B6HY9RJI04,1600775411,3.0
AHQRU3MRORIWQ,1600775411,4.0
A1SCANWWQTEG9I,1600775411,3.0
A1WBEIH7Z37LN9,1600775411,4.0
A2F2S1L61X1LA9,1600775411,4.0
A21OGQWFAKGC41,1600775411,4.0
A1A21GIPMY89BZ,1600775411,1.0
A141W8WHW9AC3H,1600775411,4.0
A3RF46CL8GDIN8,1600775411,3.0
A8WAYVOKYBLO6,1600775411,3.0
A2YKWYC3WQJX5J,1600775411,3.0
A301B6L3TCD7WL,1600775411,3.0
A2WN1QF8GSVHYV,1600775411,4.0
A3D5B2CBFNJB0K,1600775411,4.0
A3OXHLG6DIBRW8,1600775411,3.0
A1ZZR25X0CNOJX,1600775411,4.0
AYVM2DODURDLE,1600775411,4.0
A3S3R88HA0HZG3,1600775411,4.0
A2JCJJNY43QQIV,1600775411,2.0
A3FGJDBSMCSG7G,1615354336,5.0
A225G2TFM76GYX,1615354336,4.0
A3TUWNDO2728F3,B00003IRBU,5.0
AI290A0Z9Y3XF,B00003IRBU,4.0
AYJF535SFBGXO,B00003IRBU,4.0
A3A8ZWV1PQWXK5,B00003IRBU,2.0
A1P4RH7KMJ1SV2,B00003IRBU,4.0
A1IU7S4HCK1XK0,B00003JAU9,4.0
A3PD6NG6XL336W,B00003IRBV,2.0
A3ANETCTMAN1NP,B00003IRBV,4.0
AI290A0Z9Y3XF,B00003IRBV,5.0
AYJF535SFBGXO,B00003IRBV,5.0
